Bezerra da Silva | Malandragem Dá um Tempo
Hungria Hip Hop | Lembranças
Maria Bethânia | Reconvexo
MC Lan | 5 Minutos de Merda
Maysa | What Are You Doing the Rest of Your Life?
Pixote | Insegurança
OutroEu | Poema de Lágrimas
Cacife Clandestino | Aquário
Rita Lee | Lança Perfume
MC Rodolfinho | Os Mlk é Liso
Ministério Zoe | Nunca foi sobre nós
Clara Nunes | Feira de Mangaio
Dona Ivone Lara | Sorriso Negro
Adriana Partimpim | Esquadros
Sandy | Bobby
Vitor Kley | O Sol
Gabriel Elias | Fiz Esse Som Pra Você (Ralk Remix)
Os Arrais | Mistério
Angra | Rebirth
Frejat | Amor Pra Recomeçar
UM44K | Nossa Música
Lucas Lucco | Paraíso
Andy Bianchini | High Hopes
Zezé Di Camargo e Luciano | No Dia em Que Eu Saí de Casa
Netinho | Milla
Israel Novaes | Vem ni mim dodge ram
Ludmilla | Vem Amor
Haikaiss | Raplord
MC Fioti | Bum Bum Tam Tam (Remix)
Silva | Faz a Pose
César Menotti e Fabiano | Evidências
Turma do Pagode | Camisa 10
Gilberto Gil | Toda Menina Baiana
Vingadora | Metralhadora
Alceu Valença | Anunciação
Mart'nália | Namora Comigo
Ferrugem | Pirata e Tesouro
MC Brisola | Medley Brisado
Cazuza | Ideologia
Márcia Fellipe | Vivo Só
Natiruts | Quero Ser Feliz Também
Zizi Possi | Per Amore
Cristiano Araújo | Caso Indefinido
João Bosco & Vinicius | Chora, Me Liga
Rodriguinho | Samba
Criolo | Esquiva da Esgrima
Erasmo Carlos | Vida Antiga
Bruno Be | Fade
Manu Gavassi | áudio de desculpas
Rubel | Quando Bate Aquela Saudade
Anderson Freire | Canção do Céu
Liniker | Zero
Avine Vinny | Tô Fechado com Ela
Zeca Pagodinho | Maneiras
Exaltasamba | Teu segredo
Haikaiss | Nome da Rosa
Pitty | Na Sua Estante
Kleber Lucas | Te Agradeço
Karol Conká | Lalá
Conrado & Aleksandro | Camionete inteira
Djonga | Esquimó
Eli Soares | Me Ajude a Melhorar
O Terno | Volta e Meia
Froid | Bicho de 7 Cabeças / A Culpa é das Igrejas
Sinara | Antes que eu morra
Belo | Витаминка (Vitamin)
Renato Russo | Mais uma Vez
Blitz | We Are the Boys
VINNE | Lights
Flora Matos | Bora Dançar
Ferrugem | Eu Juro
Benito di Paula | Sou Feliz Com Jesus
Hungria Hip Hop | Não Troco
Mariana Aydar | Caraíva-Trancoso
Jammil | Colorir papel
Roberto Carlos | Cama e Mesa
João Bosco | A Nível De
Bonde R300 | Oh Nanana
Felguk | Pretty Baby
MC Pedrinho | Hoje Eu Vou Ficar Louco
Alok | Me & You
Tropkillaz | Baby Baby
Class A | Saiba
Dudu Nobre | A Grande Família
Thiago Brava | Dona Maria
